id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,PlanArea,StructureType,ReplacementCost,geometry,Occupancy,replacement_cost,LandValue,ImprovementValue,home_value,LatestDocument,InterestRate,Mortgage,PercentagePaidMortgage,TotalValue,Equity,OwnerIncomeAtPurchase,HomeownerIncomeCurrent
1,37.760737,-122.2323511,1,1911.0,RES1,1900,W1,337388.0,POINT (-122.2323511 37.760737),RenterOccupied,337388.0,123642.0,288499.0,412141.0,2007,0.004166666666666667,True,0.7,461030.0,322721.0,98996.34914291473,139729.41593319108
2,37.760578,-122.23275,1,1909.0,RES1,1900,W1,324646.0,POINT (-122.23275 37.760578),OwnerOccupied,324646.0,550800.0,676200.0,1227000.0,2019,0.004166666666666667,True,0.30000000000000004,1227000.0,368100.00000000006,263472.0525743582,301601.0261645439
3,37.7610016,-122.2327057,1,1946.0,RES1,1900,W1,349782.0,POINT (-122.2327057 37.7610016),OwnerOccupied,349782.0,299510.0,698856.0,998366.0,2015,0.004166666666666667,True,0.43333333333333335,998366.0,432625.26666666666,214377.78259205524,264701.3925772325
4,37.7609541,-122.2326171,1,1909.0,RES1,1900,W1,324646.0,POINT (-122.2326171 37.7609541),OwnerOccupied,324646.0,190957.0,445567.0,636524.0,2018,0.004166666666666667,True,0.33333333333333337,636524.0,212174.6666666667,136679.9387064717,159294.91197832985
5,37.7608829,-122.2324841,2,1909.0,RES1,1900,W1,333082.0,POINT (-122.2324841 37.7608829),OwnerOccupied,333082.0,166139.0,513763.0,679902.0,2013,0.004166666666666667,True,0.5,679902.0,339951.0,145994.43805167996,183407.24798144892
6,37.7607832,-122.2329938,2,1912.0,RES3,1622,W1,305714.56,POINT (-122.2329938 37.7607832),RenterOccupied,305714.56,124570.0,290664.0,415234.0,2009,0.004166666666666667,True,0.6333333333333333,430284.56,272513.55466666666,92394.42234250577,126037.4185834892
7,37.7608218,-122.2324398,2,1909.0,RES1,1900,W1,345824.0,POINT (-122.2324398 37.7608218),OwnerOccupied,345824.0,92312.0,215395.0,307707.0,2003,0.004166666666666667,True,0.8333333333333333,438136.0,365113.3333333333,94080.35144801876,149636.33289684745
8,37.7607103,-122.2329273,1,1911.0,RES1,1425,W1,261674.4,POINT (-122.2329273 37.7607103),RenterOccupied,261674.4,643747.0,786802.0,1430549.0,2017,0.004166666666666667,True,0.3666666666666667,1430549.0,524534.6333333334,307179.8543913574,366749.8379850795
9,37.760639,-122.2327944,1,1911.0,RES1,1900,W1,349782.0,POINT (-122.2327944 37.760639),OwnerOccupied,349782.0,167977.0,355162.5,523139.5,1995,0.004166666666666667,True,1.0,523139.5,523139.5,112333.03818070372,215714.07669799108
10,37.7606658,-122.2322182,2,1907.0,RES1,1900,W1,358218.0,POINT (-122.2322182 37.7606658),OwnerOccupied,358218.0,586785.0,882779.0,1469564.0,2017,0.004166666666666667,True,0.3666666666666667,1469564.0,538840.1333333334,315557.49264008494,376752.1132856725
11,37.7604932,-122.2326614,1,1911.0,RES1,1900,W1,337388.0,POINT (-122.2326614 37.7604932),OwnerOccupied,337388.0,165327.0,385764.0,551091.0,2000,0.004166666666666667,True,0.9333333333333333,551091.0,514351.60000000003,118335.02601895326,201111.13263401142
12,37.7604355,-122.2324841,1,1911.0,RES1,1900,W1,324646.0,POINT (-122.2324841 37.7604355),OwnerOccupied,324646.0,226193.0,355162.5,581355.5,1986,0.004166666666666667,False,1.0,581355.5,581355.5,124833.6812228136,333332.125714074
13,37.7602247,-122.2314647,1,1910.0,RES1,1900,W1,337388.0,POINT (-122.2314647 37.7602247),OwnerOccupied,337388.0,193433.0,451344.0,644777.0,2006,0.004166666666666667,True,0.7333333333333334,644777.0,472836.46666666673,138452.09424835938,200985.60338419452
14,37.7607569,-122.2315533,1,1905.0,RES1,1900,W1,349782.0,POINT (-122.2315533 37.7607569),OwnerOccupied,349782.0,90939.0,355162.5,446101.5,2018,0.004166666666666667,True,0.33333333333333337,446101.5,148700.50000000003,95790.77250326001,111640.25107600169
15,37.7611396,-122.2311544,1,1920.0,RES1,1425,W1,248932.4,POINT (-122.2311544 37.7611396),OwnerOccupied,248932.4,469608.0,704412.0,1174020.0,2019,0.004166666666666667,True,0.30000000000000004,1174020.0,352206.00000000006,252095.7287394849,288578.3510494684
